lob,iteration,method,percentage_error
comauto,36,mack_chain_ladder,-0.0332806246713392
comauto,36,bornhuetter_ferguson,0.01572892581569465
comauto,37,chain_ladder,-0.009630317131043287
comauto,37,mack_chain_ladder,-0.009630317131043287
comauto,37,bornhuetter_ferguson,0.056648776828766276
comauto,38,chain_ladder,-0.016448142503947695
comauto,38,mack_chain_ladder,-0.016448142503947695
comauto,38,bornhuetter_ferguson,0.08608658499563052
comauto,39,chain_ladder,-0.017509503368018417
comauto,39,mack_chain_ladder,-0.017509503368018417
comauto,39,bornhuetter_ferguson,0.0412048814988184
comauto,40,chain_ladder,-0.02190726191654527
comauto,40,mack_chain_ladder,-0.02190726191654527
comauto,40,bornhuetter_ferguson,0.0611517466127374
comauto,41,chain_ladder,-0.02662708156334737
comauto,41,mack_chain_ladder,-0.02662708156334737
comauto,41,bornhuetter_ferguson,0.01358877835995208
comauto,42,chain_ladder,-0.025028986617184792
comauto,42,mack_chain_ladder,-0.025028986617184792
comauto,42,bornhuetter_ferguson,0.057322634133195355
comauto,43,chain_ladder,-0.03232563286884149
comauto,43,mack_chain_ladder,-0.03232563286884149
comauto,43,bornhuetter_ferguson,0.035899176063536695
comauto,44,chain_ladder,-0.015050739508030635
comauto,44,mack_chain_ladder,-0.015050739508030635
comauto,44,bornhuetter_ferguson,0.04044269301715454
comauto,45,chain_ladder,-0.017145021148756535
comauto,45,mack_chain_ladder,-0.017145021148756535
comauto,45,bornhuetter_ferguson,0.038611368925950684
comauto,46,chain_ladder,-0.004745541671008079
comauto,46,mack_chain_ladder,-0.004745541671008079
comauto,46,bornhuetter_ferguson,0.061691161630291855
comauto,47,chain_ladder,-0.02349944544792681
comauto,47,mack_chain_ladder,-0.02349944544792681
comauto,47,bornhuetter_ferguson,0.053206216667970464
comauto,48,chain_ladder,-0.027257763935727205
comauto,48,mack_chain_ladder,-0.027257763935727205
comauto,48,bornhuetter_ferguson,0.013543405119527745
comauto,49,chain_ladder,-0.015162899893821531
comauto,49,mack_chain_ladder,-0.015162899893821531
comauto,49,bornhuetter_ferguson,0.05779716307752674
comauto,50,chain_ladder,-0.024857439892549765
comauto,50,mack_chain_ladder,-0.024857439892549765
comauto,50,bornhuetter_ferguson,0.04142026435275279
comauto,51,chain_ladder,-0.027495374659592148
comauto,51,mack_chain_ladder,-0.027495374659592148
comauto,51,bornhuetter_ferguson,0.01595901259710727
comauto,52,chain_ladder,-0.004862019087617677
comauto,52,mack_chain_ladder,-0.004862019087617677
comauto,52,bornhuetter_ferguson,0.07805492705301878
comauto,53,chain_ladder,-0.009128964390529353
comauto,53,mack_chain_ladder,-0.009128964390529353
comauto,53,bornhuetter_ferguson,0.08164964974250113
comauto,54,chain_ladder,-0.0073212655711950856
comauto,54,mack_chain_ladder,-0.0073212655711950856
comauto,54,bornhuetter_ferguson,0.05801580900890359
comauto,55,chain_ladder,-0.024495478666894298
comauto,55,mack_chain_ladder,-0.024495478666894298
comauto,55,bornhuetter_ferguson,0.04170642307028454
comauto,56,chain_ladder,-0.015511474732593674
comauto,56,mack_chain_ladder,-0.015511474732593674
comauto,56,bornhuetter_ferguson,0.06969231361332999
comauto,57,chain_ladder,-0.0012344421931284402
comauto,57,mack_chain_ladder,-0.0012344421931284402
comauto,57,bornhuetter_ferguson,0.06928500622692502
comauto,58,chain_ladder,-0.03439939444192498
comauto,58,mack_chain_ladder,-0.03439939444192498
comauto,58,bornhuetter_ferguson,0.005344192345395911
comauto,59,chain_ladder,-0.02541970804105052
comauto,59,mack_chain_ladder,-0.02541970804105052
comauto,59,bornhuetter_ferguson,0.038567867157241496
comauto,60,chain_ladder,-0.03260892166733699
comauto,60,mack_chain_ladder,-0.03260892166733699
comauto,60,bornhuetter_ferguson,0.0037646773412582145
comauto,61,chain_ladder,-0.035254106920948845
comauto,61,mack_chain_ladder,-0.035254106920948845
comauto,61,bornhuetter_ferguson,0.005198400690329964
comauto,62,chain_ladder,-0.007814572262863164
comauto,62,mack_chain_ladder,-0.007814572262863164
comauto,62,bornhuetter_ferguson,0.07350730234789886
comauto,63,chain_ladder,-0.015207319229646177
comauto,63,mack_chain_ladder,-0.015207319229646177
comauto,63,bornhuetter_ferguson,0.04896843347432662
comauto,64,chain_ladder,-0.02956433878858961
comauto,64,mack_chain_ladder,-0.02956433878858961
comauto,64,bornhuetter_ferguson,0.027645841571225557
comauto,65,chain_ladder,-0.011417420536269858
comauto,65,mack_chain_ladder,-0.011417420536269858
comauto,65,bornhuetter_ferguson,0.06963208480842678
comauto,66,chain_ladder,-0.026553869671735293
comauto,66,mack_chain_ladder,-0.026553869671735293
comauto,66,bornhuetter_ferguson,0.05222433349820128
comauto,67,chain_ladder,-0.032606626623686547
comauto,67,mack_chain_ladder,-0.032606626623686547
comauto,67,bornhuetter_ferguson,0.009455127264189648
comauto,68,chain_ladder,-0.03638057633655237
comauto,68,mack_chain_ladder,-0.03638057633655237
comauto,68,bornhuetter_ferguson,0.019546999669271897
comauto,69,chain_ladder,-0.014776142829979036
comauto,69,mack_chain_ladder,-0.014776142829979036
comauto,69,bornhuetter_ferguson,0.07859137175048865
comauto,70,chain_ladder,-0.017121072475120656
comauto,70,mack_chain_ladder,-0.017121072475120656
comauto,70,bornhuetter_ferguson,0.09237322062522783
comauto,71,chain_ladder,-0.015496878720300826
comauto,71,mack_chain_ladder,-0.015496878720300826
comauto,71,bornhuetter_ferguson,0.033175486986600666
comauto,72,chain_ladder,-0.02590336003859053
comauto,72,mack_chain_ladder,-0.02590336003859053
comauto,72,bornhuetter_ferguson,0.026395171300516843
comauto,73,chain_ladder,-0.02983649100881744
comauto,73,mack_chain_ladder,-0.02983649100881744
comauto,73,bornhuetter_ferguson,0.03144973127916902
comauto,74,chain_ladder,-0.011460493797525007
comauto,74,mack_chain_ladder,-0.011460493797525007
comauto,74,bornhuetter_ferguson,0.05295809007555493
comauto,75,chain_ladder,-0.022394066444653922
comauto,75,mack_chain_ladder,-0.022394066444653922
comauto,75,bornhuetter_ferguson,0.02134191588222628
comauto,76,chain_ladder,-0.017234350431882425
comauto,76,mack_chain_ladder,-0.017234350431882425
comauto,76,bornhuetter_ferguson,0.06359542593748997
comauto,77,chain_ladder,-0.02151476368539751
comauto,77,mack_chain_ladder,-0.02151476368539751
comauto,77,bornhuetter_ferguson,0.03435491543982224
comauto,78,chain_ladder,-0.024019271122958357
comauto,78,mack_chain_ladder,-0.024019271122958357
comauto,78,bornhuetter_ferguson,0.028695977471737775
comauto,79,chain_ladder,-0.017232738615840414
comauto,79,mack_chain_ladder,-0.017232738615840414
comauto,79,bornhuetter_ferguson,0.05357886057440636
comauto,80,chain_ladder,-0.009704762505944707
comauto,80,mack_chain_ladder,-0.009704762505944707
comauto,80,bornhuetter_ferguson,0.08299245304460928
comauto,81,chain_ladder,-0.00793916908495795
comauto,81,mack_chain_ladder,-0.00793916908495795
comauto,81,bornhuetter_ferguson,0.07780476100993225
comauto,82,chain_ladder,-0.020782414410255842
comauto,82,mack_chain_ladder,-0.020782414410255842
comauto,82,bornhuetter_ferguson,0.051611579258201576
comauto,83,chain_ladder,-0.004764084267545724
comauto,83,mack_chain_ladder,-0.004764084267545724
comauto,83,bornhuetter_ferguson,0.1046892593036721
comauto,84,chain_ladder,-0.026969689850334874
comauto,84,mack_chain_ladder,-0.026969689850334874
comauto,84,bornhuetter_ferguson,0.03125744208669195
comauto,85,chain_ladder,-0.01458142550736491
comauto,85,mack_chain_ladder,-0.01458142550736491
comauto,85,bornhuetter_ferguson,0.05521549004000494
comauto,86,chain_ladder,-0.012744165674533731
comauto,86,mack_chain_ladder,-0.012744165674533731
comauto,86,bornhuetter_ferguson,0.057511221534024694
comauto,87,chain_ladder,-0.01604383747234907
comauto,87,mack_chain_ladder,-0.01604383747234907
comauto,87,bornhuetter_ferguson,0.06301752777992858
comauto,88,chain_ladder,-0.03571937766547244
comauto,88,mack_chain_ladder,-0.03571937766547244
comauto,88,bornhuetter_ferguson,-0.007538802404120345
comauto,89,chain_ladder,-0.012970607621310755
comauto,89,mack_chain_ladder,-0.012970607621310755
comauto,89,bornhuetter_ferguson,0.06746123256035988
comauto,90,chain_ladder,-0.019895295783901704
comauto,90,mack_chain_ladder,-0.019895295783901704
comauto,90,bornhuetter_ferguson,0.05187372211824761
comauto,91,chain_ladder,-0.01686672531348396
comauto,91,mack_chain_ladder,-0.01686672531348396
comauto,91,bornhuetter_ferguson,0.03239421955852419
comauto,92,chain_ladder,-0.03316596004070231
comauto,92,mack_chain_ladder,-0.03316596004070231
comauto,92,bornhuetter_ferguson,0.024869925692641105
comauto,93,chain_ladder,-0.02216918823350722
comauto,93,mack_chain_ladder,-0.02216918823350722
comauto,93,bornhuetter_ferguson,0.035958265430102776
comauto,94,chain_ladder,-0.03471100900427446
comauto,94,mack_chain_ladder,-0.03471100900427446
comauto,94,bornhuetter_ferguson,0.008938219015558397
comauto,95,chain_ladder,-0.008236020975450894
comauto,95,mack_chain_ladder,-0.008236020975450894
comauto,95,bornhuetter_ferguson,0.09039470577021795
comauto,96,chain_ladder,-0.016464286061185107
comauto,96,mack_chain_ladder,-0.016464286061185107
comauto,96,bornhuetter_ferguson,0.055097864535330734
comauto,97,chain_ladder,-0.03374804847718191
comauto,97,mack_chain_ladder,-0.03374804847718191
comauto,97,bornhuetter_ferguson,0.03970242103576641
comauto,98,chain_ladder,-0.020205408156051596
comauto,98,mack_chain_ladder,-0.020205408156051596
comauto,98,bornhuetter_ferguson,0.06512149394559033
comauto,99,chain_ladder,-0.009721011495553511
comauto,99,mack_chain_ladder,-0.009721011495553511
comauto,99,bornhuetter_ferguson,0.06339319889775209
medmal,0,chain_ladder,-0.22504191358950026
medmal,0,mack_chain_ladder,-0.22504191358950026
medmal,0,bornhuetter_ferguson,0.08333819914556863
medmal,1,chain_ladder,-0.1571276686398607
medmal,1,mack_chain_ladder,-0.1571276686398607
medmal,1,bornhuetter_ferguson,0.06729206409316509
medmal,2,chain_ladder,-0.3180430724178695
medmal,2,mack_chain_ladder,-0.3180430724178695
medmal,2,bornhuetter_ferguson,0.1294220133468411
medmal,3,chain_ladder,-0.11719350049418746
medmal,3,mack_chain_ladder,-0.11719350049418746
medmal,3,bornhuetter_ferguson,0.11064337640278171
medmal,4,chain_ladder,-0.2871932293147156
medmal,4,mack_chain_ladder,-0.2871932293147156
medmal,4,bornhuetter_ferguson,0.041247513801393326
medmal,5,chain_ladder,-0.28509624189220395
medmal,5,mack_chain_ladder,-0.28509624189220395
medmal,5,bornhuetter_ferguson,0.01548887015406401
medmal,6,chain_ladder,-0.3149590988636698
medmal,6,mack_chain_ladder,-0.3149590988636698
medmal,6,bornhuetter_ferguson,0.0734013501966681
medmal,7,chain_ladder,-0.45308123145998547
medmal,7,mack_chain_ladder,-0.45308123145998547
medmal,7,bornhuetter_ferguson,-0.0470678267544744
medmal,8,chain_ladder,-0.06345979149249474
medmal,8,mack_chain_ladder,-0.06345979149249474
medmal,8,bornhuetter_ferguson,-0.01922250753800243
medmal,9,chain_ladder,-0.37466280965875276
medmal,9,mack_chain_ladder,-0.37466280965875276
medmal,9,bornhuetter_ferguson,0.03927829430465602
medmal,10,chain_ladder,-0.3228664475318105
medmal,10,mack_chain_ladder,-0.3228664475318105
medmal,10,bornhuetter_ferguson,0.2008341792822328
medmal,11,chain_ladder,-0.3020563800129846
medmal,11,mack_chain_ladder,-0.3020563800129846
medmal,11,bornhuetter_ferguson,0.025910451774206634
medmal,12,chain_ladder,-0.1715813006038594
medmal,12,mack_chain_ladder,-0.1715813006038594
medmal,12,bornhuetter_ferguson,0.16417970976853563
medmal,13,chain_ladder,-0.16043235929241684
medmal,13,mack_chain_ladder,-0.16043235929241684
medmal,13,bornhuetter_ferguson,0.06986324183214432
medmal,14,chain_ladder,-0.337858689543445
medmal,14,mack_chain_ladder,-0.337858689543445
medmal,14,bornhuetter_ferguson,0.06062157340316151
medmal,15,chain_ladder,-0.21406509678674346
medmal,15,mack_chain_ladder,-0.21406509678674346
medmal,15,bornhuetter_ferguson,0.09797918544226976
medmal,16,chain_ladder,-0.16060362791761548
medmal,16,mack_chain_ladder,-0.16060362791761548
medmal,16,bornhuetter_ferguson,0.0336147652559858
medmal,17,chain_ladder,-0.10914133455830936
medmal,17,mack_chain_ladder,-0.10914133455830936
medmal,17,bornhuetter_ferguson,0.10658386168132973
medmal,18,chain_ladder,-0.27598258520238056
medmal,18,mack_chain_ladder,-0.27598258520238056
medmal,18,bornhuetter_ferguson,-0.05605824444759847
medmal,19,chain_ladder,-0.40501380070647475
