lob,grcode,fault,detected,duplicate_check,nonnegative_check,development_check,completeness_check,extreme_increment_check
comauto,35408,missing_cell,True,False,False,False,True,False
comauto,35408,unit_x1000,False,False,False,False,False,False
comauto,14974,duplicate_key,True,True,False,False,False,False
comauto,14974,negative_paid,True,False,True,False,False,False
comauto,14974,development_mismatch,True,False,False,True,False,False
comauto,14974,missing_cell,True,False,False,False,True,False
comauto,14974,unit_x1000,False,False,False,False,False,False
comauto,18767,duplicate_key,True,True,False,False,False,False
comauto,18767,negative_paid,True,False,True,False,False,False
comauto,18767,development_mismatch,True,False,False,True,False,False
comauto,18767,missing_cell,True,False,False,False,True,False
comauto,18767,unit_x1000,False,False,False,False,False,False
comauto,1538,duplicate_key,True,True,False,False,False,False
comauto,1538,negative_paid,True,False,True,False,False,False
comauto,1538,development_mismatch,True,False,False,True,False,False
comauto,1538,missing_cell,True,False,False,False,True,False
comauto,1538,unit_x1000,False,False,False,False,False,False
medmal,35904,duplicate_key,True,True,True,False,False,False
medmal,35904,negative_paid,True,False,True,False,False,False
medmal,35904,development_mismatch,True,False,True,True,False,False
medmal,35904,missing_cell,True,False,True,False,True,False
medmal,35904,unit_x1000,True,False,True,False,False,False
medmal,41467,duplicate_key,True,True,True,False,False,False
medmal,41467,negative_paid,True,False,True,False,False,False
medmal,41467,development_mismatch,True,False,True,True,False,False
medmal,41467,missing_cell,True,False,True,False,True,False
medmal,41467,unit_x1000,True,False,True,False,False,False
medmal,669,duplicate_key,True,True,False,False,False,False
medmal,669,negative_paid,True,False,True,False,False,False
medmal,669,development_mismatch,True,False,False,True,False,False
medmal,669,missing_cell,True,False,False,False,True,False
medmal,669,unit_x1000,True,False,False,False,False,True
medmal,683,duplicate_key,True,True,False,False,False,False
medmal,683,negative_paid,True,False,True,False,False,False
medmal,683,development_mismatch,True,False,False,True,False,False
medmal,683,missing_cell,True,False,False,False,True,False
medmal,683,unit_x1000,False,False,False,False,False,False
medmal,33049,duplicate_key,True,True,False,False,False,False
medmal,33049,negative_paid,True,False,True,False,False,False
medmal,33049,development_mismatch,True,False,False,True,False,False
medmal,33049,missing_cell,True,False,False,False,True,False
medmal,33049,unit_x1000,False,False,False,False,False,False
medmal,7854,duplicate_key,True,True,False,False,False,False
medmal,7854,negative_paid,True,False,True,False,False,False
medmal,7854,development_mismatch,True,False,False,True,False,False
medmal,7854,missing_cell,True,False,False,False,True,False
medmal,7854,unit_x1000,False,False,False,False,False,False
medmal,15865,duplicate_key,True,True,False,False,False,False
medmal,15865,negative_paid,True,False,True,False,False,False
medmal,15865,development_mismatch,True,False,False,True,False,False
medmal,15865,missing_cell,True,False,False,False,True,False
medmal,15865,unit_x1000,False,False,False,False,False,False
medmal,1406,duplicate_key,True,True,True,False,False,False
medmal,1406,negative_paid,True,False,True,False,False,False
medmal,1406,development_mismatch,True,False,True,True,False,False
medmal,1406,missing_cell,True,False,True,False,True,False
medmal,1406,unit_x1000,True,False,True,False,False,False
medmal,33111,duplicate_key,True,True,False,False,False,False
medmal,33111,negative_paid,True,False,True,False,False,False
medmal,33111,development_mismatch,True,False,False,True,False,False
medmal,33111,missing_cell,True,False,False,False,True,False
medmal,33111,unit_x1000,False,False,False,False,False,False
medmal,36676,duplicate_key,True,True,False,False,False,False
medmal,36676,negative_paid,True,False,True,False,False,False
medmal,36676,development_mismatch,True,False,False,True,False,False
medmal,36676,missing_cell,True,False,False,False,True,False
medmal,36676,unit_x1000,False,False,False,False,False,False
