topology,simulations,mean_annual_loss,std_annual_loss,var_99,var_995,es_995,annual_control_cost,total_cost_objective
T1_LINEAR,10000,205140418.82725802,499903187.46840554,1986301397.0652575,2462036313.2920203,2966566345.9727154,0.0,2462036313.2920203
T2_VALIDATOR,10000,49435.89463447172,17682.442014314252,95002.81331880561,102640.66594027716,111039.53633082502,0.648,102641.31394027716
T3_SUPERVISOR,10000,51378.89394209435,19807.6720915748,106079.28467633783,116079.28467633782,125408.2426700769,1.152,116080.43667633782
T4_CRITIC,10000,58180.39971930668,25046.598096611906,134720.10617161833,144631.8224823862,159036.37436851196,0.528,144632.3504823862
T5_HUMAN_K0,10000,159341189.65688306,473805314.4115039,1758162223.2977707,1986369890.9380434,2671337110.664273,0.0,1986369890.9380434
T5_HUMAN_K1,10000,61918.82953712498,31551.57679538264,164065.47214361955,181494.86631447746,204788.4544974973,1360.0,182854.86631447746
T5_HUMAN_K2,10000,55407.62843702606,23129.65560206097,124965.98186169083,135686.57198080624,154377.36515424133,2720.0,138406.57198080624
T5_HUMAN_K3,10000,62031.04418504995,25653.572552280224,134317.1711629075,145755.8965268812,157387.88408479234,4080.0,149835.8965268812
