source_kind,local_path,source_url,revision,sha256,bytes,file_count,license_files,declared_license,status,note
git,data/raw/github/05_agentic_failures/tau2-bench,https://github.com/sierra-research/tau2-bench.git,a2c024725189473d2d7cea3a5cfdbcc67478e41f,,831751113,1564,LICENSE,MIT,verified,Shallow provenance clone; commit identifies exact snapshot.
git,data/raw/github/05_agentic_failures/ToolEmu,https://github.com/ryoungj/ToolEmu.git,ac4a7ab7ed8c7985d96231e214bd6b54304b7ddb,,4924848,100,LICENSE,Apache-2.0,verified,Shallow provenance clone; commit identifies exact snapshot.
git,data/raw/github/05_agentic_failures/who_and_when,https://github.com/mingyin1/Agents_Failure_Attribution.git,b2bae5c5b06d681d04ea5e9b63b7a30525c04925,,10249387,198,LICENSE,MIT,verified,Shallow provenance clone; commit identifies exact snapshot.
git,data/raw/github/06_prompt_injection/agentdojo,https://github.com/ethz-spylab/agentdojo.git,089ed468cf3ed0322acc66b0211f26d9d90dbf60,,434398019,36860,LICENSE,MIT,verified,Shallow provenance clone; commit identifies exact snapshot.
git,data/raw/github/06_prompt_injection/InjecAgent,https://github.com/uiuc-kang-lab/InjecAgent.git,f19c9f2c79a41046eb13c03c51a24c567a8ffa07,,6428687,24,LICENCE,MIT,verified,Shallow provenance clone; commit identifies exact snapshot.
git,data/raw/github/06_prompt_injection/jailbreak_llms,https://github.com/verazuo/jailbreak_llms.git,4f4031bf8be187f4478c7f94f42b08714722c12e,,40222647,15,LICENSE,MIT,verified,Shallow provenance clone; commit identifies exact snapshot.
git,data/raw/github/06_prompt_injection/owasp_llm_top10,https://github.com/OWASP/www-project-top-10-for-large-language-model-applications.git,99f4395589bdbd120ae961f9cd179e79d7f9b27f,,471260613,901,LICENSE.md;initiatives/agent_security_initiative/LICENSE;initiatives/data_gathering/data_validation/LICENSE;initiatives/data_gathering/literature/LICENSE;initiatives/data_gathering/mappings/LICENSE;initiatives/data_gathering/entrydatasupport/2_0/2_0_candidates/LICENSE,CC-BY-SA,verified,Shallow provenance clone; commit identifies exact snapshot.
http,data/_scripts/aat_data_remote/ai_risk_taxonomies/AgentDojo_2406.13352.pdf,https://arxiv.org/pdf/2406.13352,,349884fffbf43282591c5accffd57bb651632f38e412fe303114941bdd111b05,1042076,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/ai_risk_taxonomies/AIID_editor_lessons_2409.16425.pdf,https://arxiv.org/pdf/2409.16425,,b56212cb142d9068802eac7e53eb3c5fb79ec2c2e40c0b237d70d8af4758731d,111591,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/ai_risk_taxonomies/InjecAgent_2403.02691.pdf,https://arxiv.org/pdf/2403.02691,,49e6e6a4a00c797a772ef905a154c0839426655027d5fa0ce6b632e6c1db2bfb,3183277,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/ai_risk_taxonomies/MAST_multiagent_failure_taxonomy_2503.13657.pdf,https://arxiv.org/pdf/2503.13657,,1b9e317a2a421e60ca2b2eda4a30844557a01e63286a790890c0ecef32d25460,1188307,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/ai_risk_taxonomies/MIT_AI_Risk_Repository_paper_2408.12622.pdf,https://arxiv.org/pdf/2408.12622,,8f3559ee5c4621a7cd72281daa0b28377dd2bde20f243598d6910ae50e396765,5636943,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/ai_risk_taxonomies/Taxonomy_AI_risks_2306.12001.pdf,https://arxiv.org/pdf/2306.12001,,db87a2c26d9ccf274d7e1500e584d86c0c478dc9e04cf8c6fd24b465d82d696f,5355095,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/ai_risk_taxonomies/TRAIL_trace_reasoning_2505.08638.pdf,https://arxiv.org/pdf/2505.08638,,9d7dc90d3343e9d4c19df37f4926c02feb42deed78dfc854f33f423470ca68f5,2644981,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/aiid_excel/AIID_Excel_Export-20260831.xlsx,https://incidentdatabase.ai/research/snapshots,,03554da10ef635f30f3f0a40756cda81074969fe97248de35411df0bebd065c9,2448937,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/aiid_excel/backup-20260831101113.tar.bz2,https://incidentdatabase.ai/research/snapshots,,5dca92f9cff48fa4bdc2ce254820fd164ba806117cd4ce1cc318c9f3780d11bf,111324448,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/cas_schedule_p/comauto_pos.csv,https://www.casact.org/sites/default/files/2021-04/comauto_pos.csv,,568a16c666d82e1871658e31ba0280257b846a313c050c6f7eaaaf2d3c009e0b,1096456,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/cas_schedule_p/medmal_pos.csv,https://www.casact.org/sites/default/files/2021-04/medmal_pos.csv,,9a5f8cbda1ba1556a22127837212c40c884ebb93cf91292ab7e94ba48c958d63,243780,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/cas_schedule_p/othliab_pos.csv,https://www.casact.org/sites/default/files/2021-04/othliab_pos.csv,,31e7e63091611e2b3e97ee0f30c1e366873147e49abbea6d70ba3cb71301afdd,1626377,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/cas_schedule_p/ppauto_pos.csv,https://www.casact.org/sites/default/files/2021-04/ppauto_pos.csv,,d8d06ffbeaba7e6ce896a70417ef58fbc9840b71caffcbe488fb58fa59536ec9,1046587,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/cas_schedule_p/prodliab_pos.csv,https://www.casact.org/sites/default/files/2021-04/prodliab_pos.csv,,73cf0b4ca7801dd43687ed4ed2efa4d346f327db10dc849ef2f8f8d6616ea7f1,453580,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
