placement,controls,annual_cost,posterior_mean_silent_probability,tail_risk_index,feasible,objective,selected,pareto
110111,5,2000.0,0.0003463203463203464,346.3203463203464,False,2346.3203463203463,False,True
111111,6,2400.0,0.00021645021645021648,216.4502164502165,False,2616.4502164502164,False,True
110101,4,1600.0,0.0010389610389610392,1038.961038961039,False,2638.961038961039,False,True
111101,5,2000.0,0.0006493506493506495,649.3506493506494,False,2649.3506493506493,False,False
011111,5,2000.0,0.000974025974025974,974.025974025974,False,2974.025974025974,False,False
101111,5,2000.0,0.0010351966873706005,1035.1966873706006,False,3035.1966873706006,False,False
111011,5,2000.0,0.0011124121779859486,1112.4121779859486,False,3112.412177985949,False,False
010111,4,1600.0,0.0015584415584415584,1558.4415584415585,False,3158.4415584415583,False,False
100111,4,1600.0,0.0016563146997929607,1656.3146997929607,False,3256.3146997929607,False,False
110011,4,1600.0,0.0017798594847775178,1779.8594847775178,False,3379.8594847775175,False,False
111110,5,2000.0,0.0014682911590128086,1468.2911590128085,False,3468.2911590128087,False,False
110110,4,1600.0,0.002349265854420494,2349.265854420494,False,3949.265854420494,False,False
011101,4,1600.0,0.002922077922077922,2922.0779220779223,False,4522.077922077922,False,False
101101,4,1600.0,0.0031055900621118015,3105.5900621118017,False,4705.590062111802,False,False
111001,4,1600.0,0.0033372365339578458,3337.236533957846,False,4937.236533957846,False,False
010101,3,1200.0,0.004675324675324675,4675.324675324675,True,5875.324675324675,True,True
111100,4,1600.0,0.004404873477038426,4404.873477038426,False,6004.873477038426,False,False
100101,3,1200.0,0.004968944099378882,4968.944099378882,True,6168.944099378882,False,False
001111,4,1600.0,0.004658385093167703,4658.3850931677025,False,6258.3850931677025,False,False
110001,3,1200.0,0.005339578454332554,5339.578454332554,True,6539.578454332554,False,False
011011,4,1600.0,0.005005854800936769,5005.854800936769,False,6605.854800936769,False,False
101011,4,1600.0,0.005320232155584971,5320.232155584971,False,6920.232155584971,False,False
011110,4,1600.0,0.0066073102155576385,6607.310215557639,False,8207.310215557638,False,False
110100,3,1200.0,0.007047797563261482,7047.7975632614825,True,8247.797563261483,False,False
101110,4,1600.0,0.007022262064843868,7022.262064843868,False,8622.262064843868,False,False
000111,3,1200.0,0.007453416149068323,7453.416149068323,True,8653.416149068322,False,False
111010,4,1600.0,0.007546053743451075,7546.053743451074,False,9146.053743451073,False,False
010011,3,1200.0,0.008009367681498831,8009.367681498831,True,9209.367681498832,False,False
100011,3,1200.0,0.008512371448935954,8512.371448935954,True,9712.371448935954,False,False
010110,3,1200.0,0.010571696344892223,10571.696344892223,True,11771.696344892223,False,False
100110,3,1200.0,0.011235619303750187,11235.619303750187,True,12435.619303750187,False,False
110010,3,1200.0,0.01207368598952172,12073.68598952172,True,13273.68598952172,False,False
001101,3,1200.0,0.013975155279503108,13975.155279503108,True,15175.155279503108,False,False
011001,3,1200.0,0.015017564402810307,15017.564402810307,True,16217.564402810307,False,False
101001,3,1200.0,0.015960696466754912,15960.696466754913,True,17160.69646675491,False,False
011100,3,1200.0,0.019821930646672918,19821.930646672918,True,21021.930646672918,False,False
101100,3,1200.0,0.021066786194531603,21066.786194531604,True,22266.786194531604,False,False
000101,2,800.0,0.02236024844720497,22360.24844720497,True,23160.24844720497,False,True
111000,3,1200.0,0.022638161230353223,22638.161230353224,True,23838.161230353224,False,False
010001,2,800.0,0.024028103044496492,24028.103044496493,True,24828.103044496493,False,False
001011,3,1200.0,0.02394104470013237,23941.04470013237,True,25141.04470013237,False,False
100001,2,800.0,0.025537114346807863,25537.114346807863,True,26337.114346807863,False,False
010100,2,800.0,0.031715089034676666,31715.089034676665,True,32515.089034676665,False,False
001110,3,1200.0,0.031600179291797405,31600.179291797405,True,32800.17929179741,False,False
100100,2,800.0,0.03370685791125056,33706.85791125056,True,34506.85791125056,False,False
011010,3,1200.0,0.03395724184552984,33957.24184552984,True,35157.24184552984,False,False
110000,2,800.0,0.03622105796856516,36221.05796856516,True,37021.05796856516,False,False
101010,3,1200.0,0.03608982225128775,36089.82225128775,True,37289.82225128775,False,False
000011,2,800.0,0.03830567152021178,38305.671520211785,True,39105.671520211785,False,False
000110,2,800.0,0.050560286866875845,50560.286866875846,True,51360.286866875846,False,False
010010,2,800.0,0.05433158695284774,54331.58695284774,True,55131.58695284774,False,False
100010,2,800.0,0.057743715602060396,57743.715602060394,True,58543.715602060394,False,False
001001,2,800.0,0.07182313410039712,71823.13410039712,True,72623.13410039712,False,False
001100,2,800.0,0.09480053787539222,94800.53787539223,True,95600.53787539223,False,False
011000,2,800.0,0.1018717255365895,101871.72553658951,True,102671.72553658951,False,False
101000,2,800.0,0.10826946675386323,108269.46675386323,True,109069.46675386323,False,False
000001,1,400.0,0.11491701456063537,114917.01456063538,True,115317.01456063538,False,True
000100,1,400.0,0.15168086060062752,151680.86060062752,True,152080.86060062752,False,False
001010,2,800.0,0.16240420013079485,162404.20013079484,True,163204.20013079484,False,False
010000,1,400.0,0.16299476085854323,162994.76085854322,True,163394.76085854322,False,False
100000,1,400.0,0.17323114680618118,173231.14680618118,True,173631.14680618118,False,False
000010,1,400.0,0.25984672020927174,259846.72020927173,True,260246.72020927173,False,False
001000,1,400.0,0.4872126003923846,487212.60039238463,True,487612.60039238463,False,False
000000,0,0.0,0.7795401606278153,779540.1606278153,True,779540.1606278153,False,True
