stage,fault_type,topology,state_before,state_after,posterior_mean,ci_05,ci_95,cell_n
S1_INGEST,CONTROL,T5_HUMAN_K3,C,C,0.8513896355456598,0.6897304434350584,0.9649720333203236,8.0
S1_INGEST,CONTROL,T5_HUMAN_K3,C,E,0.08220863581873124,0.008656492392439447,0.2122674761726186,8.0
S1_INGEST,CONTROL,T5_HUMAN_K3,C,R,0.05043262442105759,0.0015013180373135138,0.1610421874470555,8.0
S1_INGEST,CONTROL,T5_HUMAN_K3,C,H,0.015969104214551305,4.5429549738955634e-07,0.07536671458176138,8.0
S1_INGEST,F1_DATA,T1_LINEAR,C,C,0.6777228556139235,0.5403666551262839,0.8065943598995848,24.000000000000004
S1_INGEST,F1_DATA,T1_LINEAR,C,E,0.29033219038458447,0.16790555440703042,0.42732471432867497,24.000000000000004
S1_INGEST,F1_DATA,T1_LINEAR,C,R,0.024675429704414904,0.0007167771226736717,0.07763185853049279,24.000000000000004
S1_INGEST,F1_DATA,T1_LINEAR,C,H,0.007269524297077033,1.2902599622237322e-07,0.03559021969084088,24.000000000000004
S1_INGEST,F1_DATA,T2_VALIDATOR,C,C,0.6790670057959063,0.5404169515058632,0.8065200860232999,24.000000000000004
S1_INGEST,F1_DATA,T2_VALIDATOR,C,E,0.10343275576461369,0.03186257880148062,0.19899671254357595,24.000000000000004
S1_INGEST,F1_DATA,T2_VALIDATOR,C,R,0.20993877868425131,0.1036979720286217,0.3335392890323125,24.000000000000004
S1_INGEST,F1_DATA,T2_VALIDATOR,C,H,0.007561459755228727,1.2765560756509103e-07,0.03748062574958605,24.000000000000004
S1_INGEST,F1_DATA,T3_SUPERVISOR,C,C,0.6774342713178271,0.5381998358759639,0.8048486908992588,24.000000000000004
S1_INGEST,F1_DATA,T3_SUPERVISOR,C,E,0.07341962586718748,0.017613944257135323,0.15958955397895858,24.000000000000004
S1_INGEST,F1_DATA,T3_SUPERVISOR,C,R,0.2415389192131173,0.12798974079222075,0.3726600567379195,24.000000000000004
S1_INGEST,F1_DATA,T3_SUPERVISOR,C,H,0.007607183601868177,1.4942269253395485e-07,0.037255028771091325,24.000000000000004
S1_INGEST,F1_DATA,T4_CRITIC,C,C,0.6775656827397805,0.5352378207187434,0.8025142092724049,24.000000000000004
S1_INGEST,F1_DATA,T4_CRITIC,C,E,0.1970749408892999,0.09656077514026053,0.32364174645738797,24.000000000000004
S1_INGEST,F1_DATA,T4_CRITIC,C,R,0.11753342482127686,0.04101841024719152,0.219213723146255,24.000000000000004
S1_INGEST,F1_DATA,T4_CRITIC,C,H,0.007825951549642845,1.720528057946266e-07,0.03868551872285363,24.000000000000004
S1_INGEST,F1_DATA,T5_HUMAN_K0,C,C,0.6781142579372806,0.5427821810840242,0.8034831115533801,24.000000000000004
S1_INGEST,F1_DATA,T5_HUMAN_K0,C,E,0.28940761214329813,0.16728528698788153,0.424516898723701,24.000000000000004
S1_INGEST,F1_DATA,T5_HUMAN_K0,C,R,0.02433149248738846,0.0007451726858580629,0.07621073191059158,24.000000000000004
