topology,fault_type,observations,annual_lambda,threshold,tail_probability,gpd_shape,gpd_scale,mean_severity
T1_LINEAR,F1_DATA,6,1.7999999999999998,2671359.7647557417,0.16666666666666666,,,893786.5882519139
T1_LINEAR,F4_REASONING,6,2.1599999999999997,8583.239396387598,0.0,,,6674.185370272368
T1_LINEAR,F7_ADVERSARIAL,6,0.36,14247.662150153476,0.16666666666666666,,,10836.044652854025
T2_VALIDATOR,F1_DATA,6,1.7999999999999998,5000.0,0.0,,,5000.0
T2_VALIDATOR,F4_REASONING,6,2.1599999999999997,5000.0,0.0,,,5000.0
T2_VALIDATOR,F7_ADVERSARIAL,6,0.36,9130.235904204297,0.16666666666666666,,,6376.745301401432
T5_HUMAN_K1,F1_DATA,6,1.7999999999999998,5000.0,0.0,,,5000.0
T5_HUMAN_K1,F4_REASONING,6,2.1599999999999997,5000.0,0.0,,,5000.0
T5_HUMAN_K1,F7_ADVERSARIAL,6,0.36,14247.662150153476,0.16666666666666666,,,10836.044652854025
