topology,simulations,mean_annual_loss,std_annual_loss,var_99,var_995,es_995,annual_control_cost,total_cost_objective,residual_risk_cap,feasible,capital_reduction_vs_reference,benefit_cost_ratio,selected
T2_VALIDATOR,3000,22356.78799396558,11018.907751658364,50000.0,55000.0,59427.666405310694,0.648,55000.648,6417676.202649462,True,8501901.603532616,13120218.523970086,True
T5_HUMAN_K1,3000,23928.21648548691,12266.11141683679,58262.820333327516,63511.62665934935,73979.53161249633,1360.0,64871.62665934935,6417676.202649462,True,8493389.976873267,6245.1396888774025,False
T1_LINEAR,3000,1631944.6454357544,2101957.2334286245,8534536.223292015,8556901.603532616,10171997.351332689,0.0,8556901.603532616,6417676.202649462,False,0.0,0.0,False
