fault_type,topology,runs,detection_rate,silent_failure_rate,median_abs_delta,p95_abs_delta,median_amplification
F1_DATA,T1_LINEAR,6,0.0,1.0,0.0,58367157.025950246,1.7318554823908647
F1_DATA,T2_VALIDATOR,6,1.0,0.0,0.0,0.0,
F1_DATA,T5_HUMAN_K1,6,0.6666666666666666,0.3333333333333333,0.0,0.0,
F4_REASONING,T1_LINEAR,6,0.0,1.0,28786.334288590122,71664.78792775195,0.6140786631148791
F4_REASONING,T2_VALIDATOR,6,1.0,0.0,0.0,0.0,
F4_REASONING,T5_HUMAN_K1,6,0.6666666666666666,0.3333333333333333,0.0,0.0,
F7_ADVERSARIAL,T1_LINEAR,6,0.3333333333333333,0.6666666666666666,165209.43616817187,194825.14642051834,1.0
F7_ADVERSARIAL,T2_VALIDATOR,6,0.8333333333333334,0.16666666666666666,0.0,123907.0771261289,1.0
F7_ADVERSARIAL,T5_HUMAN_K1,6,0.3333333333333333,0.6666666666666666,165209.43616817187,194825.14642051834,1.0
